BUA22CD,BUA22NM,BUA22NMW,BUA22NMG,RGN22CD,RGN22NM,WHOLE_PART,ObjectId
E63000001,Berwick-upon-Tweed,,,E12000001,North East,Whole,1
E63000002,Loanend,,,E12000001,North East,Whole,2
E63000003,Norham,,,E12000001,North East,Whole,3
E63000004,Haggerston,,,E12000001,North East,Whole,4
E63000005,Lowick,,,E12000001,North East,Whole,5
E63000006,Cornhill on Tweed,,,E12000001,North East,Whole,6
E63000007,Bamburgh,,,E12000001,North East,Whole,7
E63000008,Belford,,,E12000001,North East,Whole,8
E63000009,Seahouses and North Sunderland,,,E12000001,North East,Whole,9
E63000010,Beadnell,,,E12000001,North East,Whole,10
E63000011,Wooler,,,E12000001,North East,Whole,11
E63000012,Brunton,,,E12000001,North East,Whole,12
E63000013,Embleton,,,E12000001,North East,Whole,13
E63000014,Longhoughton,,,E12000001,North East,Whole,14
E63000015,Alnwick,,,E12000001,North East,Whole,15
E63000016,Whittingham,,,E12000001,North East,Whole,16
E63000017,Lesbury,,,E12000001,North East,Whole,17
E63000018,Hipsburn,,,E12000001,North East,Whole,18
E63000019,Shilbottle,,,E12000001,North East,Whole,19
E63000020,Warkworth,,,E12000001,North East,Whole,20
E63000021,Amble,,,E12000001,North East,Whole,21
E63000022,Swarland,,,E12000001,North East,Whole,22
E63000023,Thropton,,,E12000001,North East,Whole,23
E63000024,Acklington,,,E12000001,North East,Whole,24
E63000025,Rothbury,,,E12000001,North East,Whole,25
E63000026,Longframlington,,,E12000001,North East,Whole,26
E63000027,Felton (Northumberland),,,E12000001,North East,Whole,27
E63000028,South Broomhill,,,E12000001,North East,Whole,28
E63000029,Hadston,,,E12000001,North East,Whole,29
E63000030,West Thirston,,,E12000001,North East,Whole,30
E63000031,Longhorsley,,,E12000001,North East,Whole,31
E63000032,Widdrington Station,,,E12000001,North East,Whole,32
E63000033,Otterburn,,,E12000001,North East,Whole,33
E63000034,Ellington (Northumberland),,,E12000001,North East,Whole,34
E63000035,Lynemouth,,,E12000001,North East,Whole,35
E63000036,Woodhorn,,,E12000001,North East,Whole,36
E63000037,Newbiggin-by-the-Sea,,,E12000001,North East,Whole,37
E63000038,Fair Moor,,,E12000001,North East,Whole,38
E63000039,Pegswood,,,E12000001,North East,Whole,39
E63000040,Ashington (Northumberland),,,E12000001,North East,Whole,40
E63000041,Morpeth,,,E12000001,North East,Whole,41
E63000042,Stakeford,,,E12000001,North East,Whole,42
E63000043,Bomarsund,,,E12000001,North East,Whole,43
