FID,PAR20CD,PAR20NM,WD20CD,WD20NM,LAD20CD,LAD20NM
1,E04011378,Welshampton and Lyneal,E05008192,The Meres,E06000051,Shropshire
2,E04011358,Shrewsbury,E05008193,Underdale,E06000051,Shropshire
3,E04011379,Wem Rural,E05008194,Wem,E06000051,Shropshire
4,E04011380,Wem Urban,E05008194,Wem,E06000051,Shropshire
5,E04011391,Whixall,E05008194,Wem,E06000051,Shropshire
6,E04011388,Whitchurch Urban,E05008195,Whitchurch North,E06000051,Shropshire
7,E04011387,Whitchurch Rural,E05008196,Whitchurch South,E06000051,Shropshire
8,E04011388,Whitchurch Urban,E05008196,Whitchurch South,E06000051,Shropshire
9,E04011213,Badger,E05008198,Worfield,E06000051,Shropshire
10,E04011217,Beckbury,E05008198,Worfield,E06000051,Shropshire
11,E04011294,Kemberton,E05008198,Worfield,E06000051,Shropshire
12,E04011348,Rudge,E05008198,Worfield,E06000051,Shropshire
13,E04011351,Ryton,E05008198,Worfield,E06000051,Shropshire
14,E04011366,Stockton,E05008198,Worfield,E06000051,Shropshire
15,E04011371,Sutton Maddock,E05008198,Worfield,E06000051,Shropshire
16,E04011396,Worfield,E05008198,Worfield,E06000051,Shropshire
17,E04011352,Selattyn and Gobowen,E05009281,"Gobowen, Selattyn and Weston Rhyn",E06000051,Shropshire
18,E04011384,Weston Rhyn,E05009281,"Gobowen, Selattyn and Weston Rhyn",E06000051,Shropshire
19,E04012255,Oswestry Rural,E05009281,"Gobowen, Selattyn and Weston Rhyn",E06000051,Shropshire
20,E04012254,Oswestry,E05009282,Oswestry East,E06000051,Shropshire
21,E04012254,Oswestry,E05009283,Oswestry South,E06000051,Shropshire
22,E04012254,Oswestry,E05009284,Oswestry West,E06000051,Shropshire
23,E04011215,Baschurch,E05009285,Ruyton and Baschurch,E06000051,Shropshire
24,E04011291,Hordley,E05009285,Ruyton and Baschurch,E06000051,Shropshire
25,E04012266,Ruyton-XI-Towns,E05009285,Ruyton and Baschurch,E06000051,Shropshire
26,E04012255,Oswestry Rural,E05009286,St Oswald,E06000051,Shropshire
27,E04012256,Whittington,E05009287,Whittington,E06000051,Shropshire
28,E04012267,West Felton,E05009287,Whittington,E06000051,Shropshire
